PMID,Title,URL,Authors,Date,Year,Journal,Abstract
25694521,Single-molecule arrays for ultrasensitive detection of host immune response to dengue virus infection.,https://pubmed.ncbi.nlm.nih.gov/25694521/,"Gaylord ST, et al.",,2015,J Clin Microbiol,"""Dengue virus serotype 2-positive plasma was applied to two indirect single-molecule arrays (Simoas) for the detection of anti-dengue virus IgG and IgM. The Simoas were 1,000 and 10,000 times more sensitive than enzyme-linked immunosorbent assays (ELISAs) for the detection of IgG and IgM, respectively. Using Simoas, serology may be used for the detection of dengue virus infection in the acute phase."""
22624675,Genetic polymorphisms of molecules involved in host immune response to dengue virus infection.,https://pubmed.ncbi.nlm.nih.gov/22624675/,"Fang X, et al.",,2012,FEMS Immunol Med Microbiol,"""The dengue virus (DENV) belongs to the flavivirus family. Each of the four distinct serotypes of this virus is capable of causing human disease, especially in tropical and subtropical areas. The majority of people infected with DENV manifest asymptomatic or dengue fever with flu-like self-limited symptoms. However, a small portion of patients emerge with severe manifestations referred to as dengue hemorrhagic fever, which has a high mortality rate if not treated promptly. The host immune system, which plays important roles throughout the whole process of DENV infection, has been confirmed to have double-edged effects on DENV infection. Recently, much attention has been paid to the genetic heterogeneity of molecules involved in the host immune response to DENV infection. This heterogeneity has been proved to be the determining factor for DENV disease orientation. The present review discusses the primary functions and single nucleotide polymorphisms of some critical molecules in the human DENV immunological defense, especially the polymorphism locus associated with the DENV pathogenesis and disease susceptibility."""
32411105,A Coupled Mathematical Model of the Intracellular Replication of Dengue Virus and the Host Cell Immune Response to Infection.,https://pubmed.ncbi.nlm.nih.gov/32411105/,"Zitzmann C, et al.",,2020,Front Microbiol,"""Dengue virus (DV) is a positive-strand RNA virus of theFlavivirusgenus. It is one of the most prevalent mosquito-borne viruses, infecting globally 390 million individuals per year. The clinical spectrum of DV infection ranges from an asymptomatic course to severe complications such as dengue hemorrhagic fever (DHF) and dengue shock syndrome (DSS), the latter because of severe plasma leakage. Given that the outcome of infection is likely determined by the kinetics of viral replication and the antiviral host cell immune response (HIR) it is of importance to understand the interaction between these two parameters. In this study, we use mathematical modeling to characterize and understand the complex interplay between intracellular DV replication and the host cells' defense mechanisms. We first measured viral RNA, viral protein, and virus particle production in Huh7 cells, which exhibit a notoriously weak intrinsic antiviral response. Based on these measurements, we developed a detailed intracellular DV replication model. We then measured replication in IFN competent A549 cells and used this data to couple the replication model with a model describing IFN activation and production of IFN stimulated genes (ISGs), as well as their interplay with DV replication. By comparing the cell line specific DV replication, we found that host factors involved in replication complex formation and virus particle production are crucial for replication efficiency. Regarding possible modes of action of the HIR, our model fits suggest that the HIR mainly affects DV RNA translation initiation, cytosolic DV RNA degradation, and naïve cell infection. We further analyzed the potential of direct acting antiviral drugs targeting different processes of the DV lifecyclein silicoand found that targeting RNA synthesis and virus assembly and release are the most promising anti-DV drug targets."""
30301880,Denguevirus and thehostinnateimmuneresponse.,https://pubmed.ncbi.nlm.nih.gov/30301880/,"Uno N, Ross TM.",10/10/2018,2018,Emerg Microbes Infect,"""Dengue virus (DENV) is a mosquito-borne Flavivirus that is endemic in many tropical and sub-tropical countries where the transmission vectors Aedes spp. mosquitoes resides. There are four serotypes of the virus. Each serotype is antigenically different, meaning they elicit heterologous antibodies. Infection with one serotype will create neutralizing antibodies to the serotype. Cross-protection from other serotypes is not long term, instead heterotypic infection can cause severe disease. This review will focus on the innate immune response to DENV infection and the virus evasion of the innate immune system by escaping recognition or inhibiting the production of an antiviral state. Activated innate immune pathways includes type I interferon, complement, apoptosis, and autophagy, which the virus can evade or exploit to exacerbate disease. It is important to understand out how the immune system reacts to infection and how the virus evades immune response in order to develop effective antivirals and vaccines."""
29345964,ImmuneResponsetoDengueand Zika.,https://pubmed.ncbi.nlm.nih.gov/29345964/,"Ngono AE, Shresta S.",26/04/2018,2018,Annu Rev Immunol,"""Flaviviruses such as dengue (DENV), yellow fever (YFV), West Nile (WNV), and Zika (ZIKV) are human pathogens of global significance. In particular, DENV causes the most prevalent mosquito-borne viral diseases in humans, and ZIKV emerged from obscurity into the spotlight in 2016 as the etiologic agent of congenital Zika syndrome. Owing to the recent emergence of ZIKV as a global pandemic threat, the roles of the immune system during ZIKV infections are as yet unclear. In contrast, decades of DENV research implicate a dual role for the immune system in protection against and pathogenesis of DENV infection. As DENV and ZIKV are closely related, knowledge based on DENV studies has been used to prioritize investigation of ZIKV immunity and pathogenesis, and to accelerate ZIKV diagnostic, therapeutic, and vaccine design. This review discusses the following topics related to innate and adaptive immune responses to DENV and ZIKV: the interferon system as the key mechanism of host defense and viral target for immune evasion, antibody-mediated protection versus antibody-dependent enhancement, and T cell-mediated protection versus original T cell antigenic sin. Understanding the mechanisms that regulate the balance between immune-mediated protection and pathogenesis during DENV and ZIKV infections is critical toward development of safe and effective DENV and ZIKV therapeutics and vaccines."""
34696397,DengueVirusInfection: A Tale of Viral Exploitations andHostResponses.,https://pubmed.ncbi.nlm.nih.gov/34696397/,"Nanaware N, Banerjee A, Mullick Bagchi S, Bagchi P, Mukherjee A.",30/09/2021,2021,Viruses,"""Dengue is a mosquito-borne viral disease (arboviral) caused by the Dengue virus. It is one of the prominent public health problems in tropical and subtropical regions with no effective vaccines. Every year around 400 million people get infected by the Dengue virus, with a mortality rate of about 20% among the patients with severe dengue. The Dengue virus belongs to the Flaviviridae family, and it is an enveloped virus with positive-sense single-stranded RNA as the genetic material. Studies of the infection cycle of this virus revealed potential host targets important for the virus replication cycle. Here in this review article, we will be discussing different stages of the Dengue virus infection cycle inside mammalian host cells and how host proteins are exploited by the virus in the course of infection as well as how the host counteracts the virus by eliciting different antiviral responses."""
36423184,Immune-Mediated Pathogenesis inDengueVirusInfection.,https://pubmed.ncbi.nlm.nih.gov/36423184/,"Khanam A, Gutiérrez-Barbosa H, Lyke KE, Chua JV.",21/11/2022,2022,Viruses,"""Dengue virus (DENV) infection is one of the major public health concerns around the globe, especially in the tropical regions of the world that contribute to 75% percent of dengue cases. While the majority of DENV infections are mild or asymptomatic, approximately 5% of the cases develop a severe form of the disease that is mainly attributed to sequential infection with different DENV serotypes. The severity of dengue depends on many immunopathogenic mechanisms involving both viral and host factors. Emerging evidence implicates an impaired immune response as contributing to disease progression and severity by restricting viral clearance and inducing severe inflammation, subsequently leading to dengue hemorrhagic fever and dengue shock syndrome. Moreover, the ability of DENV to infect a wide variety of immune cells, including monocytes, macrophages, dendritic cells, mast cells, and T and B cells, further dysregulates the antiviral functions of these cells, resulting in viral dissemination. Although several risk factors associated with disease progression have been proposed, gaps persist in the understanding of the disease pathogenesis and further investigations are warranted. In this review, we discuss known mechanisms of DENV-mediated immunopathogenesis and its association with disease progression and severity."""
21781999,The pathogenesis ofdengue.,https://pubmed.ncbi.nlm.nih.gov/21781999/,"Whitehorn J, Simmons CP.",23/09/2011,2011,Vaccine,"""Dengue is an important cause of childhood and adult morbidity in Asian and Latin American countries and its geographic footprint is growing. The clinical manifestations of dengue are the expression of a constellation of host and viral factors, some acquired, others intrinsic to the individual. The virulence of the virus plus the flavivirus infection history, age, gender and genotype of the host all appear to help shape the severity of infection. Similarly, the characteristics of the innate and acquired host immune response subsequent to infection are also likely determinants of outcome. This review summarises recent developments in the understanding of dengue pathogenesis and their relevance to dengue vaccine development."""
33231723,Current Understanding of the Pathogenesis ofDengueVirusInfection.,https://pubmed.ncbi.nlm.nih.gov/33231723/,"Bhatt P, Sabeena SP, Varma M, Arunkumar G.",24/11/2021,2021,Curr Microbiol,"""The pathogenesis of dengue virus infection is attributed to complex interplay between virus, host genes and host immune response. Host factors such as antibody-dependent enhancement (ADE), memory cross-reactive T cells, anti-DENV NS1 antibodies, autoimmunity as well as genetic factors are major determinants of disease susceptibility. NS1 protein and anti-DENV NS1 antibodies were believed to be responsible for pathogenesis of severe dengue. The cytokine response of cross-reactive CD4+ T cells might be altered by the sequential infection with different DENV serotypes, leading to further elevation of pro-inflammatory cytokines contributing a detrimental immune response. Fcγ receptor-mediated antibody-dependent enhancement (ADE) results in release of cytokines from immune cells leading to vascular endothelial cell dysfunction and increased vascular permeability. Genomic variation of dengue virus and subgenomic flavivirus RNA (sfRNA) suppressing host immune response are viral determinants of disease severity. Dengue infection can lead to the generation of autoantibodies against DENV NS1antigen, DENV prM, and E proteins, which can cross-react with several self-antigens such as plasminogen, integrin, and platelet cells. Apart from viral factors, several host genetic factors and gene polymorphisms also have a role to play in pathogenesis of DENV infection. This review article highlights the various factors responsible for the pathogenesis of dengue and also highlights the recent advances in the field related to biomarkers which can be used in future for predicting severe disease outcome."""
31448083,Recent advances in understandingdengue.,https://pubmed.ncbi.nlm.nih.gov/31448083/,Halstead S.,31/07/1000,1000,F1000Res,"""This is a selective review of recent publications on dengue clinical features, epidemiology, pathogenesis, and vaccine development placed in a context of observations made over the past half century. Four dengue viruses (DENVs) are transmitted by urban cycle mosquitoes causing diseases whose nature and severity are influenced by interacting factors such as virus, age, immune status of the host, and human genetic variability. A phenomenon that controls the kinetics of DENV infection, antibody-dependent enhancement, best explains the correlation of the vascular permeability syndrome with second heterotypic DENV infections and infection in the presence of passively acquired antibodies. Based on growing evidencein vivoandin vitro, the tissue-damaging DENV non-structural protein 1 (NS1) is responsible for most of the pathophysiological features of severe dengue. This review considers the contribution of hemophagocytic histiocytosis syndrome to cases of severe dengue, the role of movement of humans in dengue epidemiology, and modeling and planning control programs and describes a country-wide survey for dengue infections in Bangladesh and efforts to learn what controls the clinical outcome of dengue infections. Progress and problems with three tetravalent live-attenuated vaccines are reviewed. Several research mysteries remain: why is the risk of severe disease during second heterotypic DENV infection so low, why is the onset of vascular permeability correlated with defervescence, and what are the crucial components of protective immunity?"""
36466818,Immuneresponseto arbovirusinfectionin obesity.,https://pubmed.ncbi.nlm.nih.gov/36466818/,"Hameed M, Geerling E, Pinto AK, Miraj I, Weger-Lucarelli J.",18/11/2022,2022,Front Immunol,"""Obesity is a global health problem that affects 650 million people worldwide and leads to diverse changes in host immunity. Individuals with obesity experience an increase in the size and the number of adipocytes, which function as an endocrine organ and release various adipocytokines such as leptin and adiponectin that exert wide ranging effects on other cells. In individuals with obesity, macrophages account for up to 40% of adipose tissue (AT) cells, three times more than in adipose tissue (10%) of healthy weight individuals and secrete several cytokines and chemokines such as interleukin (IL)-1β, chemokine C-C ligand (CCL)-2, IL-6, CCL5, and tumor necrosis factor (TNF)-α, leading to the development of inflammation. Overall, obesity-derived cytokines strongly affect immune responses and make patients with obesity more prone to severe symptoms than patients with a healthy weight. Several epidemiological studies reported a strong association between obesity and severe arthropod-borne virus (arbovirus) infections such as dengue virus (DENV), chikungunya virus (CHIKV), West Nile virus (WNV), and Sindbis virus (SINV). Recently, experimental investigations found that DENV, WNV, CHIKV and Mayaro virus (MAYV) infections cause worsened disease outcomes in infected diet induced obese (DIO) mice groups compared to infected healthy-weight animals. The mechanisms leading to higher susceptibility to severe infections in individuals with obesity remain unknown, though a better understanding of the causes will help scientists and clinicians develop host directed therapies to treat severe disease. In this review article, we summarize the effects of obesity on the host immune response in the context of arboviral infections. We have outlined that obesity makes the host more susceptible to infectious agents, likely by disrupting the functions of innate and adaptive immune cells. We have also discussed the immune response of DIO mouse models against some important arboviruses such as CHIKV, MAYV, DENV, and WNV. We can speculate that obesity-induced disruption of innate and adaptive immune cell function in arboviral infections ultimately affects the course of arboviral disease. Therefore, further studies are needed to explore the cellular and molecular aspects of immunity that are compromised in obesity during arboviral infections or vaccination, which will be helpful in developing specific therapeutic/prophylactic interventions to prevent immunopathology and disease progression in individuals with obesity."""
34696709,Pathogenesis and virulence of flavivirusinfections.,https://pubmed.ncbi.nlm.nih.gov/34696709/,"van Leur SW, Heunis T, Munnur D, Sanyal S.",,2021,Virulence,"""The Flavivirus genus consists of >70 members including several that are considered significant human pathogens. Flaviviruses display a broad spectrum of diseases that can be roughly categorised into two phenotypes - systemic disease involving haemorrhage exemplified by dengue and yellow Fever virus, and neurological complications associated with the likes of West Nile and Zika viruses. Attempts to develop vaccines have been variably successful against some. Besides, mosquito-borne flaviviruses can be vertically transmitted in the arthropods, enabling long term persistence and the possibility of re-emergence. Therefore, developing strategies to combat disease is imperative even if vaccines become available. The cellular interactions of flaviviruses with their human hosts are key to establishing the viral lifecycle on the one hand, and activation of host immunity on the other. The latter should ideally eradicate infection, but often leads to immunopathological and neurological consequences. In this review, we use Dengue and Zika viruses to discuss what we have learned about the cellular and molecular determinants of the viral lifecycle and the accompanying immunopathology, while highlighting current knowledge gaps which need to be addressed in future studies."""
33396899,Role ofHost-Mediated Post-Translational Modifications (PTMs) in RNA Virus Pathogenesis.,https://pubmed.ncbi.nlm.nih.gov/33396899/,"Kumar R, Mehta D, Mishra N, Nayak D, Sunil S.",30/12/2020,2020,Int J Mol Sci,"""Being opportunistic intracellular pathogens, viruses are dependent on the host for their replication. They hijack host cellular machinery for their replication and survival by targeting crucial cellular physiological pathways, including transcription, translation, immune pathways, and apoptosis. Immediately after translation, the host and viral proteins undergo a process called post-translational modification (PTM). PTMs of proteins involves the attachment of small proteins, carbohydrates/lipids, or chemical groups to the proteins and are crucial for the proteins' functioning. During viral infection, host proteins utilize PTMs to control the virus replication, using strategies like activating immune response pathways, inhibiting viral protein synthesis, and ultimately eliminating the virus from the host. PTM of viral proteins increases solubility, enhances antigenicity and virulence properties. However, RNA viruses are devoid of enzymes capable of introducing PTMs to their proteins. Hence, they utilize the host PTM machinery to promote their survival. Proteins from viruses belonging to the family:Togaviridae,Flaviviridae,Retroviridae,andCoronaviridaesuch as chikungunya, dengue, zika, HIV, and coronavirus are a few that are well-known to be modified. This review discusses various host and virus-mediated PTMs that play a role in the outcome during the infection."""
31541383,Modelling theHostImmuneResponseto Mature and ImmatureDengueViruses.,https://pubmed.ncbi.nlm.nih.gov/31541383/,"Borisov M, Dimitriu G, Rashkov P.",20/09/2019,2019,Bull Math Biol,"""Immature dengue virions contained in patient blood samples are essentially not infectious because the uncleaved surface protein prM renders them incompetent for membrane fusion. However, the immature virions regain full infectivity when they interact with anti-prM antibodies, and once opsonised virion fusion into Fc receptor-expressing cells is facilitated. We propose a within-host mathematical model for the immune response which takes into account the dichotomy between mature infectious and immature noninfectious dengue virions. The model accounts for experimental observations on the different interactions of plasmacytoid dendritic cells with infected cells producing virions with different infectivity. We compute the basic reproduction number as a function of the proportion of infected cells producing noninfectious virions and use numerical simulations to compare the host's immune response in a primary and a secondary dengue infections. The results can be placed in the immunoregulatory framework with plasmacytoid dendritic cells serving as a bridge between the innate and adaptive immune response, and pose questions for potential experimental work to validate hypothesis about the evolutionary context whereby the virus strives to maximise its chance for transmission from the human host to the mosquito vector."""
