PMID,Date of Publication,Title,Abstract,MeSH,sentences_list
19822889,2009 Oct,Dengue virus pathogenesis: an integrated view.,"Much remains to be learned about the pathogenesis of the different manifestations of dengue virus (DENV) infections in humans. They may range from subclinical infection to dengue fever, dengue hemorrhagic fever (DHF), and eventually dengue shock syndrome (DSS). As both cell tropism and tissue tropism of DENV are considered major determinants in the pathogenesis of dengue, there is a critical need for adequate tropism assays, animal models, and human autopsy data. More than 50 years of research on dengue has resulted in a host of literature, which strongly suggests that the pathogenesis of DHF and DSS involves viral virulence factors and detrimental host responses, collectively resulting in abnormal hemostasis and increased vascular permeability. Differential targeting of specific vascular beds is likely to trigger the localized vascular hyperpermeability underlying DSS. A personalized approach to the study of pathogenesis will elucidate the basis of individual risk for development of DHF and DSS as well as identify the genetic and environmental bases for differences in risk for development of severe disease. b.martina@erasmusmc.nl","['Dengue/pathology/*virology', 'Dengue Virus/pathogenicity/*physiology', 'Humans']","['Much remains to be learned about the pathogenesis of the different manifestations of dengue virus (DENV) infections in humans.', 'They may range from subclinical infection to dengue fever, dengue hemorrhagic fever (DHF), and eventually dengue shock syndrome (DSS).', 'As both cell tropism and tissue tropism of DENV are considered major determinants in the pathogenesis of dengue, there is a critical need for adequate tropism assays, animal models, and human autopsy data.', 'More than 50 years of research on dengue has resulted in a host of literature, which strongly suggests that the pathogenesis of DHF and DSS involves viral virulence factors and detrimental host responses, collectively resulting in abnormal hemostasis and increased vascular permeability.', 'Differential targeting of specific vascular beds is likely to trigger the localized vascular hyperpermeability underlying DSS.', 'A personalized approach to the study of pathogenesis will elucidate the basis of individual risk for development of DHF and DSS as well as identify the genetic and environmental bases for differences in risk for development of severe disease.', 'b.martina@erasmusmc.nl']"
30301880,2018 Oct 10,Dengue virus and the host innate immune response.,"Dengue virus (DENV) is a mosquito-borne Flavivirus that is endemic in many tropical and sub-tropical countries where the transmission vectors Aedes spp. mosquitoes resides. There are four serotypes of the virus. Each serotype is antigenically different, meaning they elicit heterologous antibodies. Infection with one serotype will create neutralizing antibodies to the serotype. Cross-protection from other serotypes is not long term, instead heterotypic infection can cause severe disease. This review will focus on the innate immune response to DENV infection and the virus evasion of the innate immune system by escaping recognition or inhibiting the production of an antiviral state. Activated innate immune pathways includes type I interferon, complement, apoptosis, and autophagy, which the virus can evade or exploit to exacerbate disease. It is important to understand out how the immune system reacts to infection and how the virus evades immune response in order to develop effective antivirals and vaccines. tedross@uga.edu. tedross@uga.edu.","['Animals', 'Antibodies, Viral/immunology', 'Dengue/genetics/*immunology/virology', 'Dengue Virus/genetics/*immunology/physiology', 'Humans', '*Immunity, Innate']","['Dengue virus (DENV) is a mosquito-borne Flavivirus that is endemic in many tropical and sub-tropical countries where the transmission vectors Aedes spp. mosquitoes resides.', 'There are four serotypes of the virus.', 'Each serotype is antigenically different, meaning they elicit heterologous antibodies.', 'Infection with one serotype will create neutralizing antibodies to the serotype.', 'Cross-protection from other serotypes is not long term, instead heterotypic infection can cause severe disease.', 'This review will focus on the innate immune response to DENV infection and the virus evasion of the innate immune system by escaping recognition or inhibiting the production of an antiviral state.', 'Activated innate immune pathways includes type I interferon, complement, apoptosis, and autophagy, which the virus can evade or exploit to exacerbate disease.', 'It is important to understand out how the immune system reacts to infection and how the virus evades immune response in order to develop effective antivirals and vaccines.', 'tedross@uga.edu.', 'tedross@uga.edu', '.']"
34696397,2021 Sep 30,Dengue Virus Infection: A Tale of Viral Exploitations and Host Responses.,"Dengue is a mosquito-borne viral disease (arboviral) caused by the Dengue virus. It is one of the prominent public health problems in tropical and subtropical regions with no effective vaccines. Every year around 400 million people get infected by the Dengue virus, with a mortality rate of about 20% among the patients with severe dengue. The Dengue virus belongs to the Flaviviridae family, and it is an enveloped virus with positive-sense single-stranded RNA as the genetic material. Studies of the infection cycle of this virus revealed potential host targets important for the virus replication cycle. Here in this review article, we will be discussing different stages of the Dengue virus infection cycle inside mammalian host cells and how host proteins are exploited by the virus in the course of infection as well as how the host counteracts the virus by eliciting different antiviral responses. India. India. School, Ann Arbor, MI 48109, USA. India.","['Antibodies, Viral/immunology', 'Dengue/*metabolism/virology', 'Dengue Virus/genetics/*metabolism/pathogenicity', 'Host Microbial Interactions/genetics/physiology', 'Humans', 'Life Cycle Stages/genetics/physiology', 'RNA, Viral/genetics', 'Virus Replication/*genetics']","['Dengue is a mosquito-borne viral disease (arboviral) caused by the Dengue virus.', 'It is one of the prominent public health problems in tropical and subtropical regions with no effective vaccines.', 'Every year around 400 million people get infected by the Dengue virus, with a mortality rate of about 20% among the patients with severe dengue.', 'The Dengue virus belongs to the Flaviviridae family, and it is an enveloped virus with positive-sense single-stranded RNA as the genetic material.', 'Studies of the infection cycle of this virus revealed potential host targets important for the virus replication cycle.', 'Here in this review article, we will be discussing different stages of the Dengue virus infection cycle inside mammalian host cells and how host proteins are exploited by the virus in the course of infection as well as how the host counteracts the virus by eliciting different antiviral responses.', 'India. India. School, Ann Arbor, MI 48109, USA. India.']"
32751561,2020 Jul 30,Dengue: A Minireview.,"Dengue, caused by infection of any of four dengue virus serotypes (DENV-1 to DENV-4), is a mosquito-borne disease of major public health concern associated with significant morbidity, mortality, and economic cost, particularly in developing countries. Dengue incidence has increased 30-fold in the last 50 years and over 50% of the world's population, in more than 100 countries, live in areas at risk of DENV infection. We reviews DENV biology, epidemiology, transmission dynamics including circulating serotypes and genotypes, the immune response, the pathogenesis of the disease as well as updated diagnostic methods, treatments, vector control and vaccine developments. Aceh 23111, Indonesia. Aceh, Aceh 23111, Indonesia. Aceh 23111, Indonesia. 6009, Australia. 6009, Australia. 6009, Australia.","['Aedes/virology', 'Animals', '*Dengue/epidemiology/immunology/therapy/virology', 'Dengue Vaccines', '*Dengue Virus/chemistry/genetics/physiology/ultrastructure', 'Genome, Viral', 'Genotype', 'Humans', 'Mosquito Control', 'Mosquito Vectors/virology', 'Virus Replication']","['Dengue, caused by infection of any of four dengue virus serotypes (DENV-1 to DENV-4), is a mosquito-borne disease of major public health concern associated with significant morbidity, mortality, and economic cost, particularly in developing countries.', ""Dengue incidence has increased 30-fold in the last 50 years and over 50% of the world's population, in more than 100 countries, live in areas at risk of DENV infection."", 'We reviews DENV biology, epidemiology, transmission dynamics including circulating serotypes and genotypes, the immune response, the pathogenesis of the disease as well as updated diagnostic methods, treatments, vector control and vaccine developments.', 'Aceh 23111, Indonesia.', 'Aceh, Aceh 23111, Indonesia.', 'Aceh 23111, Indonesia. 6009, Australia. 6009, Australia. 6009, Australia.']"
27213782,2016,Meta-Analysis of Dengue Severity during Infection by Different Dengue Virus Serotypes in Primary and Secondary Infections.,"INTRODUCTION: Dengue virus (DENV) infection is currently a major cause of morbidity and mortality in the world; it has become more common and virulent over the past half-century and has gained much attention. Thus, this review compared the percentage of severe cases of both primary and secondary infections with different serotypes of dengue virus. METHODS: Data related to the number of cases involving dengue fever (DF), dengue hemorrhagic fever (DHF), dengue shock syndrome (DSS) or severe dengue infections caused by different serotypes of dengue virus were obtained by using the SCOPUS, the PUBMED and the OVID search engines with the keywords ""(dengue* OR dengue virus*) AND (severe dengue* OR severity of illness index* OR severity* OR DF* OR DHF* OR DSS*) AND (serotypes* OR serogroup*)"", according to the MESH terms suggested by PUBMED and OVID. RESULTS: Approximately 31 studies encompassing 15,741 cases reporting on the dengue serotypes together with their severity were obtained, and meta-analysis was carried out to analyze the data. This study found that DENV-3 from the Southeast Asia (SEA) region displayed the greatest percentage of severe cases in primary infection (95% confidence interval (CI), 31.22-53.67, 9 studies, n = 598, I2 = 71.53%), whereas DENV-2, DENV-3, and DENV-4 from the SEA region, as well as DENV-2 and DENV-3 from non-SEA regions, exhibited the greatest percentage of severe cases in secondary infection (95% CI, 11.64-80.89, 4-14 studies, n = 668-3,149, I2 = 14.77-96.20%). Moreover, DENV-2 and DENV-4 from the SEA region had been found to be more highly associated with dengue shock syndrome (DSS) (95% CI, 10.47-40.24, 5-8 studies, n = 642-2,530, I2 = 76.93-97.70%), while DENV-3 and DENV-4 from the SEA region were found to be more highly associated with dengue hemorrhagic fever (DHF) (95% CI, 31.86-54.58, 9 studies, n = 674-2,278, I2 = 55.74-88.47%), according to the 1997 WHO dengue classification. Finally, DENV-2 and DENV-4 from the SEA region were discovered to be more highly associated with secondary infection compared to other serotypes (95% CI, 72.01-96.32, 9-12 studies, n = 671-2,863, I2 = 25.01-96.75%). CONCLUSION: This study provides evidence that the presence of certain serotypes, including primary infection with DENV-3 from the SEA region and secondary infection with DENV-2, DENV-3, and DENV-4 also from the SEA region, as well as DENV-2 and DENV-3 from non SEA regions, increased the risk of severe dengue infections. Thus, these serotypes are worthy of special consideration when making clinical predictions upon the severity of the infection. SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42015026093 (http://www.crd.york.ac.uk/PROSPERO). Sciences, Universiti Putra Malaysia, Serdang, Selangor, Malaysia. Malaysia, Serdang, Selangor, Malaysia. Universiti Putra Malaysia, Serdang, Selangor, Malaysia. Malaysia. Sciences, Universiti Putra Malaysia, Serdang, Selangor, Malaysia.","['Dengue/*virology', 'Dengue Virus/*classification/genetics/immunology', 'Humans', 'Molecular Typing', 'Recurrence', 'Serogroup', 'Severe Dengue/*virology', 'Severity of Illness Index']","['INTRODUCTION: Dengue virus (DENV) infection is currently a major cause of morbidity and mortality in the world; it has become more common and virulent over the past half-century and has gained much attention.', 'Thus, this review compared the percentage of severe cases of both primary and secondary infections with different serotypes of dengue virus.', 'METHODS: Data related to the number of cases involving dengue fever (DF), dengue hemorrhagic fever (DHF), dengue shock syndrome (DSS) or severe dengue infections caused by different serotypes of dengue virus were obtained by using the SCOPUS, the PUBMED and the OVID search engines with the keywords ""(dengue* OR dengue virus*) AND (severe dengue* OR severity of illness index* OR severity* OR DF* OR DHF* OR DSS*) AND (serotypes* OR serogroup*)"", according to the MESH terms suggested by PUBMED and OVID.', 'RESULTS: Approximately 31 studies encompassing 15,741 cases reporting on the dengue serotypes together with their severity were obtained, and meta-analysis was carried out to analyze the data.', 'This study found that DENV-3 from the Southeast Asia (SEA) region displayed the greatest percentage of severe cases in primary infection (95% confidence interval (CI), 31.22-53.67, 9 studies, n = 598, I2 = 71.53%), whereas DENV-2, DENV-3, and DENV-4 from the SEA region, as well as DENV-2 and DENV-3 from non-SEA regions, exhibited the greatest percentage of severe cases in secondary infection (95% CI, 11.64-80.89, 4-14 studies, n = 668-3,149, I2 = 14.77-96.20%).', 'Moreover, DENV-2 and DENV-4 from the SEA region had been found to be more highly associated with dengue shock syndrome (DSS) (95% CI, 10.47-40.24, 5-8 studies, n = 642-2,530, I2 = 76.93-97.70%), while DENV-3 and DENV-4 from the SEA region were found to be more highly associated with dengue hemorrhagic fever (DHF) (95% CI, 31.86-54.58, 9 studies, n = 674-2,278, I2 = 55.74-88.47%), according to the 1997 WHO dengue classification.', 'Finally, DENV-2 and DENV-4 from the SEA region were discovered to be more highly associated with secondary infection compared to other serotypes (95% CI, 72.01-96.32, 9-12 studies, n = 671-2,863, I2 = 25.01-96.75%).', 'CONCLUSION: This study provides evidence that the presence of certain serotypes, including primary infection with DENV-3 from the SEA region and secondary infection with DENV-2, DENV-3, and DENV-4 also from the SEA region, as well as DENV-2 and DENV-3 from non SEA regions, increased the risk of severe dengue infections.', 'Thus, these serotypes are worthy of special consideration when making clinical predictions upon the severity of the infection.', 'SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42015026093 (http://www.crd.york.ac.uk/PROSPERO).', 'Sciences, Universiti Putra Malaysia, Serdang, Selangor, Malaysia. Malaysia, Serdang, Selangor, Malaysia. Universiti Putra Malaysia, Serdang, Selangor, Malaysia. Malaysia. Sciences, Universiti Putra Malaysia, Serdang, Selangor, Malaysia', '.']"
38649998,2024 Apr 22,Dengue virus pathogenesis and host molecular machineries.,"Dengue viruses (DENV) are positive-stranded RNA viruses belonging to the Flaviviridae family. DENV is the causative agent of dengue, the most rapidly spreading viral disease transmitted by mosquitoes. Each year, millions of people contract the virus through bites from infected female mosquitoes of the Aedes species. In the majority of individuals, the infection is asymptomatic, and the immune system successfully manages to control virus replication within a few days. Symptomatic individuals may present with a mild fever (Dengue fever or DF) that may or may not progress to a more critical disease termed Dengue hemorrhagic fever (DHF) or the fatal Dengue shock syndrome (DSS). In the absence of a universally accepted prophylactic vaccine or therapeutic drug, treatment is mostly restricted to supportive measures. Similar to many other viruses that induce acute illness, DENV has developed several ways to modulate host metabolism to create an environment conducive to genome replication and the dissemination of viral progeny. To search for new therapeutic options, understanding the underlying host-virus regulatory system involved in various biological processes of the viral life cycle is essential. This review aims to summarize the complex interaction between DENV and the host cellular machinery, comprising regulatory mechanisms at various molecular levels such as epigenetic modulation of the host genome, transcription of host genes, translation of viral and host mRNAs, post-transcriptional regulation of the host transcriptome, post-translational regulation of viral proteins, and pathways involved in protein degradation. Nagar, New Delhi, 110029, India. Nagar, New Delhi, 110029, India. Bengaluru, India. Nagar, New Delhi, 110029, India. Nagar, New Delhi, 110029, India. Nagar, New Delhi, 110029, India. Cluster, Faridabad, India. Nagar, New Delhi, 110029, India. bverma@aiims.edu.","['*Dengue Virus/physiology/pathogenicity/genetics', 'Humans', '*Dengue/virology', 'Animals', 'Host-Pathogen Interactions', 'Virus Replication']","['Dengue viruses (DENV) are positive-stranded RNA viruses belonging to the Flaviviridae family.', 'DENV is the causative agent of dengue, the most rapidly spreading viral disease transmitted by mosquitoes.', 'Each year, millions of people contract the virus through bites from infected female mosquitoes of the Aedes species.', 'In the majority of individuals, the infection is asymptomatic, and the immune system successfully manages to control virus replication within a few days.', 'Symptomatic individuals may present with a mild fever (Dengue fever or DF) that may or may not progress to a more critical disease termed Dengue hemorrhagic fever (DHF) or the fatal Dengue shock syndrome (DSS).', 'In the absence of a universally accepted prophylactic vaccine or therapeutic drug, treatment is mostly restricted to supportive measures.', 'Similar to many other viruses that induce acute illness, DENV has developed several ways to modulate host metabolism to create an environment conducive to genome replication and the dissemination of viral progeny.', 'To search for new therapeutic options, understanding the underlying host-virus regulatory system involved in various biological processes of the viral life cycle is essential.', 'This review aims to summarize the complex interaction between DENV and the host cellular machinery, comprising regulatory mechanisms at various molecular levels such as epigenetic modulation of the host genome, transcription of host genes, translation of viral and host mRNAs, post-transcriptional regulation of the host transcriptome, post-translational regulation of viral proteins, and pathways involved in protein degradation.', 'Nagar, New Delhi, 110029, India.', 'Nagar, New Delhi, 110029, India.', 'Bengaluru, India.', 'Nagar, New Delhi, 110029, India.', 'Nagar, New Delhi, 110029, India.', 'Nagar, New Delhi, 110029, India.', 'Cluster, Faridabad, India.', 'Nagar, New Delhi, 110029, India.', 'bverma@aiims.edu.']"
11893341,2002 Mar 8,"Structure of dengue virus: implications for flavivirus organization, maturation, and fusion.","The first structure of a flavivirus has been determined by using a combination of cryoelectron microscopy and fitting of the known structure of glycoprotein E into the electron density map. The virus core, within a lipid bilayer, has a less-ordered structure than the external, icosahedral scaffold of 90 glycoprotein E dimers. The three E monomers per icosahedral asymmetric unit do not have quasiequivalent symmetric environments. Difference maps indicate the location of the small membrane protein M relative to the overlaying scaffold of E dimers. The structure suggests that flaviviruses, and by analogy also alphaviruses, employ a fusion mechanism in which the distal beta barrels of domain II of the glycoprotein E are inserted into the cellular membrane. USA. rjkuhn@bragg.bio.purdue.edu","['Capsid/chemistry', 'Cryoelectron Microscopy', 'Dengue Virus/*chemistry/genetics/*physiology/ultrastructure', 'Humans', 'Hydrogen-Ion Concentration', 'Image Processing, Computer-Assisted', 'Lipid Bilayers/chemistry', 'Membrane Fusion/physiology', 'Models, Molecular', 'Viral Envelope Proteins/chemistry']","['The first structure of a flavivirus has been determined by using a combination of cryoelectron microscopy and fitting of the known structure of glycoprotein E into the electron density map.', 'The virus core, within a lipid bilayer, has a less-ordered structure than the external, icosahedral scaffold of 90 glycoprotein E dimers.', 'The three E monomers per icosahedral asymmetric unit do not have quasiequivalent symmetric environments.', 'Difference maps indicate the location of the small membrane protein M relative to the overlaying scaffold of E dimers.', 'The structure suggests that flaviviruses, and by analogy also alphaviruses, employ a fusion mechanism in which the distal beta barrels of domain II of the glycoprotein E are inserted into the cellular membrane.', 'USA. rjkuhn@bragg.bio.purdue.edu']"
27853992,2017 Feb,Progress towards understanding the pathogenesis of dengue hemorrhagic fever.,"Dengue virus (DENV) is a mosquito-borne virus belonging to the Flaviviridae family. There are 4 serotypes of DENV that cause human disease through transmission by mosquito vectors. DENV infection results in a broad spectrum of clinical symptoms, ranging from mild fever to dengue hemorrhagic fever (DHF), the latter of which can progress to dengue shock syndrome (DSS) and death. Researchers have made unremitting efforts over the last half-century to understand DHF pathogenesis. DHF is probably caused by multiple factors, such as virus-specific antibodies, viral antigens and host immune responses. This review summarizes the current progress of studies on DHF pathogenesis, which may provide important information for achieving effective control of dengue in the future. University, Beijing, 100084, China. University, Beijing, 100084, China. University, Beijing, 100084, China. gongcheng@mail.tsinghua.edu.cn. gongcheng@mail.tsinghua.edu.cn.","['Antibodies, Blocking/metabolism', 'Antibodies, Viral/immunology', 'Dengue Virus/immunology/*pathogenicity/*physiology', '*Host-Pathogen Interactions', 'Humans', 'Severe Dengue/*pathology/*virology']","['Dengue virus (DENV) is a mosquito-borne virus belonging to the Flaviviridae family.', 'There are 4 serotypes of DENV that cause human disease through transmission by mosquito vectors.', 'DENV infection results in a broad spectrum of clinical symptoms, ranging from mild fever to dengue hemorrhagic fever (DHF), the latter of which can progress to dengue shock syndrome (DSS) and death.', 'Researchers have made unremitting efforts over the last half-century to understand DHF pathogenesis.', 'DHF is probably caused by multiple factors, such as virus-specific antibodies, viral antigens and host immune responses.', 'This review summarizes the current progress of studies on DHF pathogenesis, which may provide important information for achieving effective control of dengue in the future.', 'University, Beijing, 100084, China. University, Beijing, 100084, China. University, Beijing, 100084, China.', 'gongcheng@mail.tsinghua.edu.cn.', 'gongcheng@mail.tsinghua.edu.cn.']"
34452312,2021 Jul 24,Morphological Diversity and Dynamics of Dengue Virus Affecting Antigenicity.,"The four serotypes of the mature dengue virus can display different morphologies, including the compact spherical, the bumpy spherical and the non-spherical clubshape morphologies. In addition, the maturation process of dengue virus is inefficient and therefore some partially immature dengue virus particles have been observed and they are infectious. All these viral particles have different antigenicity profiles and thus may affect the type of the elicited antibodies during an immune response. Understanding the molecular determinants and environmental conditions (e.g., temperature) in inducing morphological changes in the virus and how potent antibodies interact with these particles is important for designing effective therapeutics or vaccines. Several techniques, including cryoEM, site-directed mutagenesis, hydrogen-deuterium exchange mass spectrometry, time-resolve fluorescence resonance energy transfer, and molecular dynamic simulation, have been performed to investigate the structural changes. This review describes all known morphological variants of DENV discovered thus far, their surface protein dynamics and the key residues or interactions that play important roles in the structural changes. Medical School, Singapore 169857, Singapore. University of Singapore, Singapore 117557, Singapore. Medical School, Singapore 169857, Singapore. University of Singapore, Singapore 117557, Singapore. Medical School, Singapore 169857, Singapore. University of Singapore, Singapore 117557, Singapore.","['Antibodies, Neutralizing/immunology', 'Antibodies, Viral/immunology', 'Antibody-Dependent Enhancement', '*Antigenic Variation', 'Antigens, Viral/*chemistry/*genetics/immunology', 'Dengue/*virology', 'Dengue Vaccines/immunology', 'Dengue Virus/chemistry/classification/genetics/*immunology', 'Humans', 'Serogroup', 'Viral Envelope Proteins/genetics']","['The four serotypes of the mature dengue virus can display different morphologies, including the compact spherical, the bumpy spherical and the non-spherical clubshape morphologies.', 'In addition, the maturation process of dengue virus is inefficient and therefore some partially immature dengue virus particles have been observed and they are infectious.', 'All these viral particles have different antigenicity profiles and thus may affect the type of the elicited antibodies during an immune response.', 'Understanding the molecular determinants and environmental conditions (e.g., temperature) in inducing morphological changes in the virus and how potent antibodies interact with these particles is important for designing effective therapeutics or vaccines.', 'Several techniques, including cryoEM, site-directed mutagenesis, hydrogen-deuterium exchange mass spectrometry, time-resolve fluorescence resonance energy transfer, and molecular dynamic simulation, have been performed to investigate the structural changes.', 'This review describes all known morphological variants of DENV discovered thus far, their surface protein dynamics and the key residues or interactions that play important roles in the structural changes.', 'Medical School, Singapore 169857, Singapore. University of Singapore, Singapore 117557, Singapore. Medical School, Singapore 169857, Singapore. University of Singapore, Singapore 117557, Singapore. Medical School, Singapore 169857, Singapore. University of Singapore, Singapore 117557, Singapore.']"
28335410,2017 Mar 13,Non-Canonical Roles of Dengue Virus Non-Structural Proteins.,"The Flaviviridae family comprises a number of human pathogens, which, although sharing structural and functional features, cause diseases with very different outcomes. This can be explained by the plurality of functions exerted by the few proteins coded by viral genomes, with some of these functions shared among members of a same family, but others being unique for each virus species. These non-canonical functions probably have evolved independently and may serve as the base to the development of specific therapies for each of those diseases. Here it is discussed what is currently known about the non-canonical roles of dengue virus (DENV) non-structural proteins (NSPs), which may account for some of the effects specifically observed in DENV infection, but not in other members of the Flaviviridae family. This review explores how DENV NSPs contributes to the physiopathology of dengue, evasion from host immunity, metabolic changes, and redistribution of cellular components during infection. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil. julianna.zeidler@bioqmed.ufrj.br. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil. losiqueira@bioqmed.ufrj.br. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil. glaucemb@bioqmed.ufrj.br. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil. dapoian@bioqmed.ufrj.br.","['Dengue Virus/*pathogenicity/*physiology', '*Host-Pathogen Interactions', 'Humans', 'Viral Nonstructural Proteins/*pharmacology']","['The Flaviviridae family comprises a number of human pathogens, which, although sharing structural and functional features, cause diseases with very different outcomes.', 'This can be explained by the plurality of functions exerted by the few proteins coded by viral genomes, with some of these functions shared among members of a same family, but others being unique for each virus species.', 'These non-canonical functions probably have evolved independently and may serve as the base to the development of specific therapies for each of those diseases.', 'Here it is discussed what is currently known about the non-canonical roles of dengue virus (DENV) non-structural proteins (NSPs), which may account for some of the effects specifically observed in DENV infection, but not in other members of the Flaviviridae family.', 'This review explores how DENV NSPs contributes to the physiopathology of dengue, evasion from host immunity, metabolic changes, and redistribution of cellular components during infection.', 'Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil.', 'julianna.zeidler@bioqmed.ufrj.br. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil.', 'losiqueira@bioqmed.ufrj.br. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil. glaucemb@bioqmed.ufrj.br. Janeiro, Av. Carlos Chagas Filho, 373, CCS, Bl. E, sala 18, Rio de Janeiro 21941-90, Brazil.', 'dapoian@bioqmed.ufrj.br.']"
